section,metric,n,primary_mean,secondary_mean,mean_delta_secondary_minus_primary,delta_std,pearson,spearman,groups,mean_within_group_spearman,top_system_match_rate,system,primary_rank,secondary_rank,rank_delta_secondary_minus_primary
metric,average_score,126,3.984126984126984,4.0285714285714285,0.0444444444444444,0.36765139534738855,0.961399598810492,0.7819613843441408,,,,,,,
metric,novelty,126,3.5,3.8333333333333335,0.3333333333333333,0.7663560447348133,0.869026499201023,0.8284667956630434,,,,,,,
metric,mechanism_clarity,126,3.7698412698412698,3.753968253968254,-0.015873015873015872,0.8635854291260598,0.844540101200411,0.7403856820538168,,,,,,,
metric,falsifiability,126,4.380952380952381,4.349206349206349,-0.031746031746031744,0.3318181739740773,0.979251405323367,0.994493718785682,,,,,,,
metric,review_score,126,6.809523809523809,6.563492063492063,-0.24603174603174602,0.9144909932689153,0.9145396974554025,0.8345036687914471,,,,,,,
rank,average_score,,,,,,,,18,0.7782289182250245,0.8888888888888888,,,,
rank,novelty,,,,,,,,18,0.8480045468299586,1.0,,,,
rank,mechanism_clarity,,,,,,,,18,0.7655882080064484,1.0,,,,
rank,falsifiability,,,,,,,,18,1.0,1.0,,,,
rank,review_score,,,,,,,,18,0.8773829176043371,0.9444444444444444,,,,
system,average_score,,4.9,4.877777777777777,-0.02222222222222303,,,,,,,certificate_only_ablation,1.0,1.0,0.0
system,average_score,,4.733333333333333,4.7444444444444445,0.011111111111111072,,,,,,,firstresearch,2.0,3.0,1.0
system,average_score,,0.9555555555555555,0.8888888888888888,-0.06666666666666665,,,,,,,no_certificate_ablation,7.0,7.0,0.0
system,average_score,,4.266666666666667,4.211111111111111,-0.05555555555555536,,,,,,,no_gate_repair_ablation,5.0,6.0,1.0
system,average_score,,3.9444444444444446,4.311111111111111,0.36666666666666625,,,,,,,no_mechanism_model_ablation,6.0,5.0,-1.0
system,average_score,,4.366666666666667,4.333333333333333,-0.0333333333333341,,,,,,,no_novelty_boundary_repair_ablation,4.0,4.0,0.0
system,average_score,,4.722222222222222,4.833333333333333,0.11111111111111072,,,,,,,no_self_improvement_ablation,3.0,2.0,-1.0
system,novelty,,4.944444444444445,4.888888888888889,-0.05555555555555536,,,,,,,certificate_only_ablation,1.0,2.5,1.5
system,novelty,,4.444444444444445,4.888888888888889,0.44444444444444464,,,,,,,firstresearch,2.5,2.5,0.0
system,novelty,,0.8333333333333334,0.7222222222222222,-0.11111111111111116,,,,,,,no_certificate_ablation,7.0,7.0,0.0
system,novelty,,2.7777777777777777,3.111111111111111,0.3333333333333335,,,,,,,no_gate_repair_ablation,6.0,6.0,0.0
system,novelty,,3.9444444444444446,4.722222222222222,0.7777777777777777,,,,,,,no_mechanism_model_ablation,4.0,4.0,0.0
system,novelty,,3.111111111111111,3.5,0.38888888888888884,,,,,,,no_novelty_boundary_repair_ablation,5.0,5.0,0.0
system,novelty,,4.444444444444445,5.0,0.5555555555555554,,,,,,,no_self_improvement_ablation,2.5,1.0,-1.5
system,mechanism_clarity,,4.944444444444445,4.888888888888889,-0.05555555555555536,,,,,,,certificate_only_ablation,1.0,1.0,0.0
system,mechanism_clarity,,4.888888888888889,4.555555555555555,-0.3333333333333339,,,,,,,firstresearch,2.0,3.0,1.0
system,mechanism_clarity,,0.8888888888888888,0.7777777777777778,-0.11111111111111105,,,,,,,no_certificate_ablation,7.0,7.0,0.0
system,mechanism_clarity,,4.388888888888889,4.055555555555555,-0.3333333333333339,,,,,,,no_gate_repair_ablation,5.0,5.0,0.0
system,mechanism_clarity,,2.0555555555555554,3.0,0.9444444444444446,,,,,,,no_mechanism_model_ablation,6.0,6.0,0.0
system,mechanism_clarity,,4.444444444444445,4.222222222222222,-0.22222222222222232,,,,,,,no_novelty_boundary_repair_ablation,4.0,4.0,0.0
system,mechanism_clarity,,4.777777777777778,4.777777777777778,0.0,,,,,,,no_self_improvement_ablation,3.0,2.0,-1.0
system,falsifiability,,5.0,5.0,0.0,,,,,,,certificate_only_ablation,3.5,3.5,0.0
system,falsifiability,,5.0,5.0,0.0,,,,,,,firstresearch,3.5,3.5,0.0
system,falsifiability,,0.6666666666666666,0.4444444444444444,-0.2222222222222222,,,,,,,no_certificate_ablation,7.0,7.0,0.0
system,falsifiability,,5.0,5.0,0.0,,,,,,,no_gate_repair_ablation,3.5,3.5,0.0
system,falsifiability,,5.0,5.0,0.0,,,,,,,no_mechanism_model_ablation,3.5,3.5,0.0
system,falsifiability,,5.0,5.0,0.0,,,,,,,no_novelty_boundary_repair_ablation,3.5,3.5,0.0
system,falsifiability,,5.0,5.0,0.0,,,,,,,no_self_improvement_ablation,3.5,3.5,0.0
system,review_score,,9.277777777777779,9.38888888888889,0.11111111111111072,,,,,,,certificate_only_ablation,1.0,1.0,0.0
system,review_score,,7.888888888888889,7.722222222222222,-0.16666666666666696,,,,,,,firstresearch,3.0,2.0,-1.0
system,review_score,,2.388888888888889,2.0,-0.38888888888888884,,,,,,,no_certificate_ablation,7.0,7.0,0.0
system,review_score,,6.444444444444445,6.055555555555555,-0.3888888888888893,,,,,,,no_gate_repair_ablation,6.0,6.0,0.0
system,review_score,,6.555555555555555,6.666666666666667,0.1111111111111116,,,,,,,no_mechanism_model_ablation,5.0,4.0,-1.0
system,review_score,,7.0,6.555555555555555,-0.44444444444444464,,,,,,,no_novelty_boundary_repair_ablation,4.0,5.0,1.0
system,review_score,,8.11111111111111,7.555555555555555,-0.5555555555555554,,,,,,,no_self_improvement_ablation,2.0,3.0,1.0
